sam	newname
4021-DEV106-357wF-806bR	4021_BL060705_3_357wF-806bR
4021-DEV108-357wF-806bR	4021_BL060516_3_357wF-806bR
4021-DEV111-357wF-806bR	4021_BL060207_3_357wF-806bR
4021-DEV112-357wF-806bR	4021_BL060111_3_357wF-806bR
4021-DEV113-357wF-806bR	4021_BL051213_3_357wF-806bR
4021-DEV114-357wF-806bR	4021_BL051108_3_357wF-806bR
4021-DEV115-357wF-806bR	4021_BL051004_3_357wF-806bR
4021-DEV116-357wF-806bR	4021_BL050913_3_357wF-806bR
4021-DEV117-357wF-806bR	4021_BL050803_3_357wF-806bR
4021-DEV118-357wF-806bR	4021_BL050705_3_357wF-806bR
4021-DEV121-357wF-806bR	4021_BL050413_3_357wF-806bR
4021-DEV122-357wF-806bR	4021_BL050309_3_357wF-806bR
4021-DEV124-357wF-806bR	4021_BL050120_3_357wF-806bR
4021-DEV125-357wF-806bR	4021_BL041214_3_357wF-806bR
4021-DEV126-357wF-806bR	4021_BL041116_3_357wF-806bR
4021-DEV127-357wF-806bR	4021_BL041019_3_357wF-806bR
4021-DEV128-357wF-806bR	4021_BL040929_3_357wF-806bR
4021-DEV130-357wF-806bR	4021_BL040719_3_357wF-806bR
4021-DEV133-357wF-806bR	4021_BL040419_3_357wF-806bR
4021-DEV135-357wF-806bR	4021_BL040223_3_357wF-806bR
4021-DEV136-357wF-806bR	4021_BL040126_3_357wF-806bR
4022-DEV029-357wF-806bR	4022_BL131215_3_357wF-806bR
4022-DEV030-357wF-806bR	4022_BL131105_3_357wF-806bR
4022-DEV031-357wF-806bR	4022_BL131015_3_357wF-806bR
4022-DEV032-357wF-806bR	4022_BL130917_3_357wF-806bR
4022-DEV033-357wF-806bR	4022_BL130801_3_357wF-806bR
4022-DEV035-357wF-806bR	4022_BL130604_3_357wF-806bR
4022-DEV036-357wF-806bR	4022_BL130507_3_357wF-806bR
4022-DEV037-357wF-806bR	4022_BL130417_3_357wF-806bR
4022-DEV038-357wF-806bR	4022_BL130312_3_357wF-806bR
4022-DEV039-357wF-806bR	4022_BL130206_3_357wF-806bR
4022-DEV040-357wF-806bR	4022_BL130115_3_357wF-806bR
4022-DEV041-357wF-806bR	4022_BL121211_3_357wF-806bR
4022-DEV042-357wF-806bR	4022_BL121106_3_357wF-806bR
4022-DEV043-357wF-806bR	4022_BL121009_3_357wF-806bR
4022-DEV044-357wF-806bR	4022_BL120913_3_357wF-806bR
4022-DEV045-357wF-806bR	4022_BL120807_3_357wF-806bR
4022-DEV046-357wF-806bR	4022_BL120703_3_357wF-806bR
4022-DEV047-357wF-806bR	4022_BL120620_3_357wF-806bR
4022-DEV048-357wF-806bR	4022_BL120511_3_357wF-806bR
4022-DEV049-357wF-806bR	4022_BL120411_3_357wF-806bR
4022-DEV050-357wF-806bR	4022_BL120313_3_357wF-806bR
4022-DEV051-357wF-806bR	4022_BL120214_3_357wF-806bR
4022-DEV052-357wF-806bR	4022_BL120110_3_357wF-806bR
4022-DEV053-357wF-806bR	4022_BL111219_3_357wF-806bR
4022-DEV055-357wF-806bR	4022_BL111010_3_357wF-806bR
4022-DEV057-357wF-806bR	4022_BL110802_3_357wF-806bR
4022-DEV059-357wF-806bR	4022_BL110615_3_357wF-806bR
4022-DEV060-357wF-806bR	4022_BL110517_3_357wF-806bR
4022-DEV061-357wF-806bR	4022_BL110412_3_357wF-806bR
4022-DEV062-357wF-806bR	4022_BL110314_3_357wF-806bR
4022-DEV063-357wF-806bR	4022_BL110208_3_357wF-806bR
4022-DEV064-357wF-806bR	4022_BL110112_3_357wF-806bR
4022-DEV065-357wF-806bR	4022_BL101214_3_357wF-806bR
4022-DEV066-357wF-806bR	4022_BL101116_3_357wF-806bR
4022-DEV067-357wF-806bR	4022_BL101019_3_357wF-806bR
4022-DEV068-357wF-806bR	4022_BL100914_3_357wF-806bR
4022-DEV069-357wF-806bR	4022_BL100803_3_357wF-806bR
4022-DEV070-357wF-806bR	4022_BL100706_3_357wF-806bR
4022-DEV071-357wF-806bR	4022_BL100622_3_357wF-806bR
4022-DEV072-357wF-806bR	4022_BL100525_3_357wF-806bR
4022-DEV073-357wF-806bR	4022_BL100414_3_357wF-806bR
4022-DEV074-357wF-806bR	4022_BL100322_3_357wF-806bR
4022-DEV075-357wF-806bR	4022_BL100217_3_357wF-806bR
4022-DEV076-357wF-806bR	4022_BL100120_3_357wF-806bR
4022-DEV077-357wF-806bR	4022_BL091222_3_357wF-806bR
4022-DEV078-357wF-806bR	4022_BL091105_3_357wF-806bR
4022-DEV079-357wF-806bR	4022_BL091006_3_357wF-806bR
4022-DEV080-357wF-806bR	4022_BL090915_3_357wF-806bR
4022-DEV081-357wF-806bR	4022_BL090804_3_357wF-806bR
4022-DEV082-357wF-806bR	4022_BL090721_3_357wF-806bR
4022-DEV083-357wF-806bR	4022_BL090609_3_357wF-806bR
4022-DEV084-357wF-806bR	4022_BL090512_3_357wF-806bR
4022-DEV085-357wF-806bR	4022_BL090421_3_357wF-806bR
4022-DEV086-357wF-806bR	4022_BL090317_3_357wF-806bR
4022-DEV087-357wF-806bR	4022_BL090210_3_357wF-806bR
4022-DEV088-357wF-806bR	4022_BL090113_3_357wF-806bR
4022-DEV089-357wF-806bR	4022_BL081211_3_357wF-806bR
4022-DEV090-357wF-806bR	4022_BL081113_3_357wF-806bR
4022-DEV091-357wF-806bR	4022_BL081014_3_357wF-806bR
4022-DEV092-357wF-806bR	4022_BL080902_3_357wF-806bR
4022-DEV093-357wF-806bR	4022_BL080805_3_357wF-806bR
4022-DEV094-357wF-806bR	4022_BL080702_3_357wF-806bR
4022-DEV095-357wF-806bR	4022_BL080602_3_357wF-806bR
4022-DEV096-357wF-806bR	4022_BL080507_3_357wF-806bR
4022-DEV097-357wF-806bR	4022_BL080408_3_357wF-806bR
4022-DEV098-357wF-806bR	4022_BL080312_3_357wF-806bR
4022-DEV099-357wF-806bR	4022_BL080212_3_357wF-806bR
4022-DEV100-357wF-806bR	4022_BL080115_3_357wF-806bR
4022-DEV101-357wF-806bR	4022_BL061211_3_357wF-806bR
4022-DEV102-357wF-806bR	4022_BL061107_3_357wF-806bR
4022-DEV103-357wF-806bR	4022_BL061009_3_357wF-806bR
4022-DEV104-357wF-806bR	4022_BL060912_3_357wF-806bR
4022-DEV109-357wF-806bR	4022_BL060404_3_357wF-806bR
4408-BL070116-357wF-806bR	4408_BL070116_3_357wF-806bR
4408-BL070220-357wF-806bR	4408_BL070220_3_357wF-806bR
4408-BL070320-357wF-806bR	4408_BL070320_3_357wF-806bR
4408-BL070424-357wF-806bR	4408_BL070424_3_357wF-806bR
4408-BL070515-357wF-806bR	4408_BL070515_3_357wF-806bR
4408-BL070605-357wF-806bR	4408_BL070605_3_357wF-806bR
4408-BL070703-357wF-806bR	4408_BL070703_3_357wF-806bR
4408-BL070801-357wF-806bR	4408_BL070801_3_357wF-806bR
4408-BL070912-357wF-806bR	4408_BL070912_3_357wF-806bR
4408-BL071016-357wF-806bR	4408_BL071016_3_357wF-806bR
4408-BL071113-357wF-806bR	4408_BL071113_3_357wF-806bR
4408-BL071211-357wF-806bR	4408_BL071211_3_357wF-806bR
4408-DEV034-357wF-806bR	4408_BL130709_3_357wF-806bR
4408-DEV054-357wF-806bR	4408_BL111129_3_357wF-806bR
4408-DEV056-357wF-806bR	4408_BL110913_3_357wF-806bR
4408-DEV058-357wF-806bR	4408_BL110705_3_357wF-806bR
4408-DEV105-357wF-806bR	4408_BL060801_3_357wF-806bR
4408-DEV107-357wF-806bR	4408_BL060613_3_357wF-806bR
4408-DEV110-357wF-806bR	4408_BL060307_3_357wF-806bR
4408-DEV119-357wF-806bR	4408_BL050607_3_357wF-806bR
4408-DEV129-357wF-806bR	4408_BL040831_3_357wF-806bR
4408-DEV131-357wF-806bR	4408_BL040628_3_357wF-806bR
4408-DEV132-357wF-806bR	4408_BL040525_3_357wF-806bR
